"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code","direction","position"
"ED270","5732","MEADOWBROOK / EASTCLIFFE",NULL,"45.422995000","-75.611605000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED290","6347","MEADOWBROOK / BORTOLOTTI",NULL,"45.424202000","-75.610615000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED300","6348","MEADOWBROOK / MAXIME",NULL,"45.424587000","-75.609306000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED360","8501","MEADOWBROOK / AURELE",NULL,"45.425050000","-75.607522000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED390","8987","MEADOWBROOK / STONERIDGE",NULL,"45.425656000","-75.605544000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED400","8502","APPLETON / MEADOWBROOK",NULL,"45.426099000","-75.603569000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED410","2022","MEADOWBROOK / BLAIR",NULL,"45.427121000","-75.600703000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED415","2023","MEADOWBROOK / APPLETON",NULL,"45.426575000","-75.603485000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED430","7696","BEAVERPOND / HALLMARK",NULL,"45.423248000","-75.601404000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED451","7697","BLAIR / INNES",NULL,"45.419974000","-75.595872000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED452","7698","BLAIR / INNES",NULL,"45.420976000","-75.596367000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED454","8514","BLAIR / INNES",NULL,"45.421096000","-75.596697000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED456","7699","BLAIR / BEAVERPOND",NULL,"45.423011000","-75.597587000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED458","7700","BLAIR / BEAVERPOND",NULL,"45.422759000","-75.597655000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED460","8504","BLAIR / BALLARD",NULL,"45.425381000","-75.599172000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED470","8989","BLAIR / AD. 1471",NULL,"45.425514000","-75.598978000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED480","7701","BLAIR / MEADOWBROOK",NULL,"45.426855000","-75.600145000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"ED491","1226","BLAIR / MEADOWBROOK",NULL,"45.427561000","-75.600594000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE010","0989","MONTFORT HOSPITAL",NULL,"45.445338000","-75.638573000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE020","8603","MONTRÉAL / MONTFORT HOSPITAL",NULL,"45.444212000","-75.637892000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE030","1511","MONTRÉAL / MONTFORT HOSPITAL",NULL,"45.444121000","-75.637795000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE045","8738","MONTRÉAL / LANGS",NULL,"45.444848000","-75.635730000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE050","1565","MONTRÉAL / DEN HAAG",NULL,"45.444713000","-75.635681000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE060","4409","MONTRÉAL / CODDS",NULL,"45.445922000","-75.632513000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE070","8634","MONTRÉAL / CARSONS",NULL,"45.446030000","-75.631378000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE080","8635","MONTRÉAL / FOXVIEW",NULL,"45.446620000","-75.629681000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE091","6925","MONTRÉAL / HOCHELAGA",NULL,"45.446842000","-75.628169000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE100","4412","MONTRÉAL / BATHGATE",NULL,"45.447328000","-75.625706000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE110","4411","MONTRÉAL / BATHGATE",NULL,"45.447158000","-75.624675000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE112","0832","MONTRÉAL / NRC",NULL,"45.446698000","-75.618699000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE115","8636","MONTRÉAL / NRC",NULL,"45.446795000","-75.618493000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE120","8640","MONTRÉAL / BLAIR",NULL,"45.446631000","-75.615900000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE240","4994","MIKINAK / DU VEDETTE",NULL,"45.451026000","-75.636797000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE250","4995","CODD'S / MIKINAK",NULL,"45.450596000","-75.633539000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE260","4996","CODD'S / MONTRÉAL",NULL,"45.446699000","-75.631187000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE280","8637","CARSONS / MONTRÉAL",NULL,"45.445820000","-75.630998000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE300","4424","CARSONS / BERMUDA",NULL,"45.443949000","-75.629876000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE302","0000","SAMUEL GENEST",NULL,"45.443378000","-75.629309000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE305","0467","DEN HAAG / MONTRÉAL",NULL,"45.444118000","-75.635523000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE315","0468","DEN HAAG / CARWOOD",NULL,"45.442263000","-75.634235000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE320","4425","CARSONS / SAMUEL GENEST",NULL,"45.442864000","-75.629215000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE325","0469","DEN HAAG / BOREALIS",NULL,"45.440907000","-75.633374000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE335","0470","DEN HAAG / MERGANSER",NULL,"45.439647000","-75.632217000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE345","0471","DEN HAAG / CARSONS",NULL,"45.441042000","-75.627530000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
