affected_route,destination,route_short_name,dst_stop_lat,dst_stop_lon
25 Millenium,MILLENNIUM,25,45.465726,-75.451031
25 Millennium,MILLENNIUM,25,45.465332,-75.448353
25 Millennium,MILLENNIUM,25,45.465332,-75.448353
251 Tunney's Pasture,TUNNEY'S,251,45.403498,-75.73618
251 Tunney's Pasture,TUNNEY'S,251,45.403498,-75.73618
256 Bridlewood,AKERSON/BARRICK HILL,256,45.282794,-75.87285
256 Tunney's Pasture,TUNNEY'S PASTURE,256,45.403498,-75.73618
256 Tunney's Pasture,TUNNEY'S PASTURE,256,45.403498,-75.73618
256 Tunney's Pasture,TUNNEY'S PASTURE,256,45.403498,-75.73618
256 Tunney's Pasture,TUNNEY'S PASTURE,256,45.403498,-75.73618
257 Bridlewood,BRIDGESTONE/FOXHALL,257,45.288171,-75.857903
257 Bridlewood,BRIDGESTONE / FOXHALL,257,45.288171,-75.857903
257 Bridlewood,BRIDGESTONE/FOXHALL,257,45.288171,-75.857903
257 Bridlewood,BRIDGESTONE/FOXHALL,257,45.288171,-75.857903
257 Tunney's Pasture,TUNNEY'S PASTURE,257,45.403498,-75.73618
257 Tunney's Pasture,TUNNEY'S,257,45.403498,-75.73618
257 Tunney's Pasture,PINEHILL/STONEHAVEN,257,45.287999,-75.848166
257 Tunney's Pasture,TUNNEY'S PASTURE,257,45.403498,-75.73618
258 Tunney's Pasture,TUNNEY'S,258,45.403498,-75.73618
261 Tunney's Pasture,TUNNEY'S PASTURE,261,45.403498,-75.73618
261 Tunney's Pasture,TUNNEY'S PASTURE,261,45.403498,-75.73618
262 Tunney's Pasture,TUNNEY'S,262,45.403498,-75.73618
262 Tunney's Pasture,TUNNEY'S PASTURE,262,45.403498,-75.73618
262 Tunney's Pasture,TUNNEY'S PASTURE,262,45.403498,-75.73618
262 West Ridge,FERNBANK LIARD,262,45.251946,-75.90531
266 Maxwell Bridge,MAXWELL BRIDGE/WINDANCE,266,45.35944,-75.934385
266 Maxwell BridgeThe trip is cancelled from Tunneyâ€™s Pasture station 15,MAXWELL BRIDGE / WINDANCE,266,45.35944,-75.934385
266 Tunney's Pasture,TUNNEY'S,266,45.403498,-75.73618
266 Tunney's Station,TUNNEY'S,266,45.403498,-75.73618
267 Glen Cairn,ROTHESAY/ EAGLESON,267,45.293376,-75.871601
267 Tunney's Pasture,TUNNEY'S PASTURE,267,45.403498,-75.73618
267 Tunney's Pasture,TUNNEY'S PASTURE,267,45.403498,-75.73618
267 Tunney's Pasture,TUNNEY'S PASTURE,267,45.403498,-75.73618
270 Tunney's Pasture,TUNNEY'S PASTURE,270,45.403498,-75.73618
271 Stoneway,STONEWAY / WITTINGHAM,271,45.288301,-75.723727
271 Stoneway,WOODROFFE/STONEWAY,271,45.288301,-75.723727
271 Stoneway,WOODROFFE/STONEWAY,271,45.288301,-75.723727
272 Cobble Hill,COBBLE HILL / FALLOWFIELD,272,45.275699,-75.785497
272 Cobble Hill,TO COBBLE HILL / FALLOWFIELD,272,45.275699,-75.785497
272 Cobble Hill,COBBLE HULL / FALLOWFIELD,272,45.275699,-75.785497
272 Cobble Hill,COBBLE HILL/ FALLOWFIELD,272,45.275699,-75.785497
272 Cobble Hill,COBBLE HILL/FALLOWFIELD,272,45.275699,-75.785497
272 Tunney's Pasture,TUNNEY'S,272,45.403498,-75.73618
272 Tunney's Pasture,TUNNEY'S PASTURE,272,45.403498,-75.73618
272 Tunney's Pasture,TUNNEY'S PASTURE,272,45.403498,-75.73618
272 Tunney's Pasture,TUNNEY'S PASTURE,272,45.403498,-75.73618
272 Tunney's Pasture,TUNNEY'S PASTURE,272,45.403498,-75.73618
272 Tunney's Pasture,TUNNEY'S,272,45.403498,-75.73618
273 Tartan,STRANDHERD / JOCKVALE,273,45.269013,-75.750268
273 Tartan,STRANDHERD/JOCKVALE,273,45.269013,-75.750268
273 Tartan,STRANDHERD,273,45.269013,-75.750268
273 Tunney's Pasture,TUNNEY'S,273,45.403498,-75.73618
273 Tunney's Pasture,TUNNEY'S,273,45.403498,-75.73618
273 Tunney's Pasture,TUNNEY'S PASTURE,273,45.403498,-75.73618
275 Cambrian,MINTO REC,275,45.252314,-75.733478
275 Cambrian,MINTO REC.,275,45.252314,-75.733478
277 Nepean Woods,NEPEAN WOODS,277,45.274449,-75.717169
277 Nepean Woods,NEPEAN WOODS,277,45.274449,-75.717169
277 Nepean Woods,NEPEAN WOODS,277,45.274449,-75.717169
277 Nepean Woods,NEPEAN WOODS,277,45.274449,-75.717169
277 Tunney's,TUNNEY'S,277,45.403498,-75.73618
277 Tunney's,TUNNEY'S,277,45.403498,-75.73618
277 Tunney's Pasture,TUNNEY'S PASTURE,277,45.403498,-75.73618
277 Tunney's Pasture,TUNNEY'S PASTURE,277,45.403498,-75.73618
277 Tunney's Pasture,TUNNEY'S PASTURE,277,45.403498,-75.73618
277 Tunney's Pasture,TUNNEY'S PASTURE,277,45.403498,-75.73618
277 Tunney's Pasture,TUNNEY'S PASTURE,277,45.403498,-75.73618
277 Tunney's Pasture,TUNNEY'S,277,45.403498,-75.73618
278 Riverside South,EARL ARMSTRONG / EYE BRIGHT PATHWAY,278,45.278763,-75.672582
278 Riverside South,EARL ARMSTRONG / EYE BRIGHT PATHWAY,278,45.278763,-75.672582
278 Riverside South,EARL ARMSTRONG/EYE BRIGHT PATHWAY,278,45.278763,-75.672582
278 Tunney's Pasture,TUNNEY'S,278,45.403498,-75.73618
278 Tunney's Pasture,TUNNEY'S,278,45.403498,-75.73618
278 Tunney's Pasture,TUNNEY'S PASTURE,278,45.403498,-75.73618
278 Tunney's Pasture,TUNNEY'S PASTURE,278,45.403498,-75.73618
278 Tunney's Pasture,TUNNEY'S PASTURE,278,45.403498,-75.73618
284 Knoxdale,KNOXDALE/HUNT CLUB,284,45.326808,-75.770402
291 Hurdman,HURDMAN,291,45.412144,-75.665557
291 Hurdman,HURDMAN,291,45.412144,-75.665557
291 Hurdman,HURDMAN,291,45.412144,-75.665557
294 Findlay Creek,FINDLAY CREEK / WILLOWMERE,294,45.310227,-75.615537
30 Blair,BLAIR,30,45.431472,-75.608154
30 Blair,BLAIR,30,45.431472,-75.608154
30 Blair,BLAIR,30,45.431472,-75.608154
30 Blair,BLAIR,30,45.431472,-75.608154
30 Blair,BLAIR,30,45.431472,-75.608154
30 Millennium,MILLENNIUM / E.S. GISELE LALONDE,30,45.465332,-75.448353
32 Blair,BLAIR,32,45.431472,-75.608154
33 Blair,BLAIR,33,45.431472,-75.608154
33 Blair,PRINCESS LOUISE/MONTCREST,33,45.484486,-75.484685
35 Blair,BLAIR,35,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 Blair,BLAIR,39,45.431472,-75.608154
39 La CitÃ©,LA CITÃ‰,39,45.440898,-75.627456
39 La CitÃ©,DEN HAAG/BATHGATE,39,45.441723,-75.623856
39 Millennium,TRIM,39,45.480761,-75.46866
39 Millennium,MILLENNIUM,39,45.465332,-75.448353
39 Millennium,TRIM,39,45.481757,-75.471034
39 Parliament,BLAIR,39,45.431472,-75.608154
39 Trim,TRIM,39,45.480761,-75.46866
39 Trim,TRIM,39,45.480761,-75.46866
40 Conroy,ST-LAURENT / CONROY,40,45.38163,-75.626994
40 Elmvale,ELMVALE MALL,40,45.399322,-75.623301
40 St. Laurent,ST-LAURENT,40,45.420762,-75.637503
40 St-Laurent,ST LAURENT,40,45.420762,-75.637503
40 St-Laurent,ST-LAURENT,40,45.420762,-75.637503
40 St-Laurent,ST-LAURENT,40,45.420762,-75.637503
40 St-Laurent,ST-LAURENT,40,45.420762,-75.637503
42 Blair,BLAIR,42,45.431472,-75.608154
44 Billings Bridge,BILLINGS BRIDGE,44,45.384693,-75.677204
44 Billings Bridge,BILLINGS BRIDGE,44,45.384806,-75.676679
44 Billings Bridge,BILLINGS BRIDGE,44,45.384806,-75.676679
44 Billings Bridge,BILLINGS BRIDGE,44,45.384806,-75.676679
44 Billings Bridge,BILLINGS BRIDGE,44,45.384693,-75.677204
44 Billings Bridge,BILLINGS BRIDGE,44,45.384806,-75.676679
44 Billings Bridge,BILLINGS BRIDGE,44,45.384806,-75.676679
44 Billings Bridge,BILLINGS BRIDGE,44,45.384693,-75.677204
44 Billings Bridge,BILLINGS BRIDGE,44,45.384806,-75.676679
44 Hurdman,HURDMAN,44,45.412144,-75.665557
44 Hurdman,HURDMAN,44,45.412144,-75.665557
44 Hurdman,HURDMAN,44,45.412144,-75.665557
44 Hurdman,HURDMAN,44,45.412144,-75.665557
45 Hospital,REHAB,45,45.402968,-75.649785
45 Hospital,RING / REHAB,45,45.402968,-75.649785
45 Hurdman,HURDMAN,45,45.412187,-75.665044
46 Billings,BILLINGS,46,45.384693,-75.677204
46 Billings Bridge,BILLINGS BRIDGE,46,45.384693,-75.677204
46 Billings Bridge,BILLINGS BRIDGE,46,45.384693,-75.677204
46 Citigate,HURDMAN,46,45.412144,-75.665557
46 Hurdman,HURDMAN,46,45.412144,-75.665557
46 Hurdman,HURDMAN,46,45.412144,-75.665557
48 Elmvale,ELMVALE,48,45.39976,-75.623533
48 Elmvale,ELMVALE,48,45.39976,-75.623533
48 Hurdman,HURDMAN,48,45.412144,-75.665557
49 Hurdman,HURDMAN,49,45.412144,-75.665557
49 Hurdman,HURDMAN,49,45.412144,-75.665557
49 Hurdman,HURDMAN,49,45.412144,-75.665557
5 Billing Bridge,BILLINGS BRIDGE,5,45.384788,-75.676979
5 Billing Bridge,BILLINGS BRIDGE,5,45.384788,-75.676979
5 Rideau,WALLER/LAURIER,5,45.424504,-75.68718
51 Britannia,BRITANNIA,51,45.363684,-75.802007
51 Britannia,BRITANNIA,51,45.362985,-75.800968
51 Britannia,BRITANNIA LOOP,51,45.363684,-75.802007
51 Britannia,BRITANNIA,51,45.362985,-75.800968
51 Britannia,TUNNEY'S PASTURE,51,45.403937,-75.736395
51 Britannia,BRITANNIA,51,45.363684,-75.802007
51 Britannia,BRITANNIA LOOP,51,45.363684,-75.802007
51 Britannia,BRITANNIA,51,45.363684,-75.802007
51 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,51,45.403937,-75.736395
51 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,51,45.403937,-75.736395
51 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,51,45.403937,-75.736395
51 Tunney's,TUNNEY'S,51,45.403937,-75.736395
51 Tunney's Pasture,TUNNEY'S PASTURE,51,45.403937,-75.736395
51 Tunney's Pasture,TUNNEY'S,51,45.403937,-75.736395
51 Tunney's Pasture,TUNNEY'S PASTURE,51,45.403937,-75.736395
51 Tunney's Pasture,TUNNEY'S PASTURE,51,45.403937,-75.736395
53 Carlington,CALDWELL/MEDFORD,53,45.372665,-75.734588
53 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,53,45.40388,-75.736653
53 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,53,45.40388,-75.736653
54 Tunney's Pasture,TUNNEY'S PASTURE,54,45.403498,-75.73618
55 Bayshore,ELMVALE MALL STOP,55,45.39976,-75.623533
55 Bayshore,BAYSHORE,55,45.345512,-75.809559
55 Bayshore,BAYSHORE,55,45.345512,-75.809559
55 Bayshore,BAYSHORE,55,45.345512,-75.809559
55 Bayshore,BAYSHORE,55,45.345512,-75.809559
55 Bayshore,BAYSHORE,55,45.345512,-75.809559
55 Elmvale,ELMVALE,55,45.39976,-75.623533
55 Elmvale,ELMVALE,55,45.39976,-75.623533
55 Elmvale,ELMVALE,55,45.39976,-75.623533
55 Elmvale,ELMVALE,55,45.39976,-75.623533
55 Elmvale,ELMVALE,55,45.39976,-75.623533
55 Elmvale,ELMVALE MALL,55,45.39976,-75.623533
56 King Edward,KING EDWARD/ UNION,56,45.437073,-75.694046
56 Tunney's Pasture,TUNNEY'S PASTURE,56,45.40388,-75.736653
56 Tunney's Pasture,TUNNEY'S PASTURE,56,45.40388,-75.736653
56 Tunney's Pasture,TUNNEY'S PASTURE,56,45.40388,-75.736653
56 Tunney's Pasture,TUNNEY'S PASTURE,56,45.40388,-75.736653
56 Tunney's Pasture,TUNNEY'S PASTURE,56,45.40388,-75.736653
57 Bayshore,BAYSHORE,57,45.344517,-75.813944
57 Bells Corners,BAYSHORE,57,45.345935,-75.809717
57 Bell's Corners,LINCOLN FIELDS,57,45.366296,-75.783439
57 Bell's Corners,BAYSHORE,57,45.345935,-75.809717
57 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,57,45.403498,-75.73618
57 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,57,45.403498,-75.73618
57 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,57,45.403498,-75.73618
57 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,57,45.403498,-75.73618
57 Tunney's,TUNNEY'S,57,45.403498,-75.73618
57 Tunney's Pasture,TUNNEY'S,57,45.403498,-75.73618
57 Tunney's Pasture,TUNNEY'S PASTURE,57,45.403498,-75.73618
57 Tunney's Pasture,TUNNEY'S,57,45.403498,-75.73618
58 Moodie,MOODIE,58,45.341133,-75.836978
58 Moodie,MOODIE,58,45.341133,-75.836978
6 Billings Bridge,BILLINGS BRIDGE,6,45.384424,-75.677297
6 Greenboro,GREENBORO,6,45.359812,-75.658776
6 Greenboro,GREENBORO,6,45.359812,-75.658776
6 Greenboro,GREENBORO,6,45.359812,-75.658776
6 Greenboro,RIDEAU,6,45.426473,-75.691159
6 Greenboro,BILLINGS BRIDGE,6,45.384424,-75.677297
6 Greenboro,GREENBORO,6,45.360092,-75.658796
6 Greenboro,GREENBORO,6,45.359812,-75.658776
6 Greenboro,GREENBORO,6,45.359812,-75.658776
6 Greenboro,GREENBORO,6,45.359812,-75.658776
6 Greenboro,GREENBORO,6,45.359812,-75.658776
6 Rideau,RIDEAU,6,45.443679,-75.67719
6 Rideau,RIDEAU,6,45.425834,-75.692574
6 Rideau,RIDEAU,6,45.443679,-75.67719
6 Rockcliffe,SPRINGFIELD/MAPLE,6,45.446327,-75.677599
6 Rockcliffe,RIDEAU,6,45.427348,-75.690016
6 Rockcliffe,SPRINGFIELD/MAPLE LANE,6,45.446327,-75.677599
6 Rockcliffe,MAPLE LANE/SPRINGFIELD,6,45.446327,-75.677599
6 Rockcliffe,SPRINGFIELD / MAPLE LANE,6,45.44655,-75.674886
6 Rockcliffe,MAPLE LANE / SPRINGFIELD,6,45.446327,-75.677599
6 Rockcliffe,SPRINGFIELD / MAPLE LANE,6,45.446327,-75.677599
6 Rockliffe,SPRINGFIELD/MAPLE LANE,6,45.446327,-75.677599
6 Rockliffe,RIDEAU,6,45.425834,-75.692574
6 Rockliffe,SPRINGFIELD/MAPLE LANE,6,45.446327,-75.677599
6 Rockliffe,MAPLE LANE / SPRINGFIELD,6,45.446327,-75.677599
61 Stittsville,CARDELREC-GOULBOURN COMPLEX,61,45.263724,-75.906639
61 Stittsville,LINCOLN FIELDS,61,45.366296,-75.783439
61 Stittsville,GOULBOURN COMPLEX,61,45.263724,-75.906639
61 Stittsville,TERRY FOX,61,45.309285,-75.906975
61 Stittsville,TERRY FOX,61,45.309285,-75.906975
61 Stittsville,CARDELREC-GOULBOURN COMPLEX,61,45.263724,-75.906639
61 Stittsville,CARDELREC-GOULBOURN COMPLEX,61,45.263724,-75.906639
61 Stittsville,TERRY FOX,61,45.309285,-75.906975
61 Stittsville,CARDELREC,61,45.263724,-75.906639
61 Terry Fox,TERRY FOX,61,45.309285,-75.906975
61 Terry Fox,TERRY FOX,61,45.309285,-75.906975
61 Terry Fox,TERRY FOX,61,45.309285,-75.906975
61 Terry Fox,TERRY FOX,61,45.309285,-75.906975
61 Terry Fox,TERRY FOX,61,45.309285,-75.906975
61 Tunney's Pasture,TUNNEY'S,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S PASTURE,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S PASTURE,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S PASTURE,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S PASTURE,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S PASTURE,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S PASTURE,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S PASTURE,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S,61,45.403498,-75.73618
61 Tunney's Pasture,TUNNEY'S PASTURE,61,45.403498,-75.73618
62 Stittsville & Terry Fox,BAYSHORE,62,45.345512,-75.809559
62 Tunney's Pasture,TUNNEY'S PASTURE,62,45.403498,-75.73618
62 Tunney's Pasture,TUNNEY'S PASTURE,62,45.403498,-75.73618
63 Briarbrook,LEGGET/TERRY FOX,63,45.34484,-75.930629
63 Briarbrook Innovation,INNOVATION,63,45.343064,-75.932125
63 Gatineau,RIDE 5:42 SACRE-COEUR/LAURIER,63,45.437163,-75.709009
63 Innovation,INNOVATION,63,45.342845,-75.931803
63 Innovation,INNOVATION,63,45.342845,-75.931803
63 Innovation,INNOVATION,63,45.342845,-75.931803
