,affected_route
88 Hurdman,22
98 Hurdman,15
25 La Cit̩,12
12 Parliament,12
90 Hurdman,12
46 Hurdman,11
6 Rockcliffe,11
6 Greenboro,11
88 Terry Fox,10
12 Blair,10
5 Billings Bridge,10
7 Carleton,9
14 Tunney's Pasture,9
111 Baseline,9
74 Riverview,9
25 Millennium,9
39 Blair,9
51 Tunney's Pasture,8
25 Blair,8
277 Nepean Woods,8
44 Hurdman,8
11 Parliament,7
57 Tunney's Pasture,7
256 Bridlewood,7
7 Parliament,7
257 Tunney's Pasture,7
44 Billings Bridge,7
6 Billings Bridge,7
85 Bayshore,7
10 Hurdman,7
18 St-Laurent,7
97 Hurdman,7
7 St-Laurent,7
61 Tunney's Pasture,7
19 St-Laurent,6
234 Blair,6
267 Glen Cairn,6
272 Tunney's Pasture,6
75 Tunney's Pasture,6
86 Tunney's Pasture,6
267 Tunney's Pasture,6
51 Britannia,6
235 Blair,6
273 Tunney's Pasture,5
97 Airport,5
63 Tunney's Pasture,5
90 Greenboro,5
277 Tunney's Pasture,5
98 Hawthorne,5
6 Rideau,5
18 Parliament,5
272 Cobble Hill,5
85 Gatineau,5
10 Lyon,5
46 Billings Bridge,5
9 Rideau,5
15 Gatineau,5
48 Hurdman,5
236 Blair,4
63 Innovation,4
88 Baseline,4
236 Esprit,4
231 Blair,4
14 St-Laurent,4
266 Tunney's Pasture,4
75 Baseline,4
5 Rideau,4
270 Cedarview,4
38 Trim,4
278 Tunney's Pasture,4
111 Carleton,3
257 Bridlewood,3
93 Leitrim,3
57 Bayshore,3
39 Millennium,3
66 Tunney's Pasture,3
30 Blair,3
291 Hurdman,3
235 Gardenway,3
87 Baseline,3
63 Gatineau,3
252 Tunney's Pasture,3
33 Blair,3
30 Millennium,3
92 Hurdman,3
64 Innovation,3
111 Carleton U,3
92 Greenboro,3
7 Brittany,3
39 Trim,3
87 Tunney's Pasture,3
39 La Cit̩,3
179 Citi Gate,3
99 Hurdman,2
290 Hurdman,2
58 Moodie,2
266 Maxwell Bridge,2
61 Stittsville,2
53 Tunney's Pasture,2
237 Blair,2
34 Renaud,2
256 Tunney's Pasture,2
93 Hurdman,2
14 St. Laurent,2
258 Tunney's Pasture,2
9 Hurdman,2
89 Tunney's Pasture,2
96 Hurdman,2
17 Wateridge,2
24 Beacon Hill,2
55 Bayshore,2
24 St. Laurent,2
53 Carlington,2
80 Barrhaven Centre,2
263 Tunney's Pasture,2
251 Tunney's Pasture,2
75 Cambrian,2
7 St. Laurent,2
6 Rockliffe,2
75 Gatineau,2
40 Conroy,2
10 Carleton,2
225 Blair,2
270 Tunney's Pasture,2
19 Parliament,2
96 Greenboro,2
25 Carson's,2
251 Bells Corners,2
75 Barrhaven,2
14 Tunney's Station,2
66 Kanata,2
80 Tunney's Pasture,2
57 Bells Corners,2
45 Hospital,1
57 Bell's Corners,1
61 Gatineau,1
168 Terry Fox,1
39 Orl̩ans,1
27 St Laurent,1
49 Hurdman,1
179 CitiGate,1
86 Tunney's,1
81 Tunney's,1
271 Stoneway,1
35 Blair,1
66 Kanata/Solandt,1
86 Baseline,1
164 Terry Fox,1
111 Billings Bridge,1
261 Stittsville Main,1
273 Tartan,1
15 Blair,1
99 Barrhaven Centre,1
28 Blair,1
25 Millenium,1
165 Innovation,1
42 Hurdman,1
271 Tunney's Pasture,1
275 Tunney's Pasture,1
84 Tunney's Pasture,1
12 Downtown,1
11 Parliament Station,1
75 Barrhaven Centre,1
62 Terry Fox,1
35 Espirit,1
87 Basleine,1
50 Tunney's Pasture,1
20 Vanier,1
284 Knoxdale,1
294 Hurdman,1
19 St. Laurent,1
48 Elmvale,1
39 Rideau,1
267 Tunney's,1
40 Greenboro,1
234 Tenth Line,1
33 Portobello,1
19 Parlement,1
40 St. Laurent,1
262 Tunney's Pasture,1
256 Tunney's Station,1
11 Bayshore,1
179 Fallowfield,1
23 Blair,1
18 Parliment,1
277 Tunney's Station,1
294 Findlay Creek,1
32 Sunview,1
20 St. Laurent,1
277 Tunney's,1
168 Bridlewood,1
34 Blair,1
261 Tunney's Pasture,1
61 Terry Fox,1
47 St. Laurent,1
11 Lincoln Fields,1
264 Tunney's Pasture,1
62 Kanata,1
64 Tunney's Pasture,1
40 St-Laurent,1
7 Rideau,1
84 Centrepointe,1
221 Blair,1
264 Tunney's,1
53 Caldwell,1
27 Wateridge,1
20 St-Laurent,1
82 Bayshore,1
262 West Ridge,1
55 Elmvale,1
171 Barrhaven Centre,1
