id,route_id,direction_id,stop_id,order
6213,93,0,AF975,75
6345,96,1,AF975,3
6415,97,0,AF975,13
6457,98,0,AF975,3
6535,99,0,AF975,3
8510,190,0,AF975,3
8625,199,0,AF975,3
10803,290,0,AF975,3
10900,291,1,AF975,3
10981,294,1,AF975,3
11082,299,1,AF975,3
444,10,0,AF980,28
2783,40,1,AF980,66
3229,48,1,AF980,35
3273,49,1,AF980,20
5721,88,0,AF980,85
6027,90,1,AF980,48
6136,92,1,AF980,48
6284,93,1,AF980,66
6336,96,0,AF980,48
6445,97,1,AF980,12
6530,98,1,AF980,38
6609,99,1,AF980,40
8538,190,1,AF980,11
8687,199,1,AF980,31
10861,290,1,AF980,29
10895,291,0,AF980,32
10976,294,0,AF980,41
11077,299,0,AF980,53
11748,609,0,AF980,3
11939,613,0,AF980,6
13059,645,0,AF980,8
5,1,0,AF990,5
22,1,1,AF995,9
3271,49,1,AG040,18
3270,49,1,AG105,17
3237,49,0,AG120,5
3268,49,1,AG150,15
3239,49,0,AG160,7
3240,49,0,AG180,8
2927,44,1,AG190,34
2926,44,1,AG200,33
2864,44,0,AG210,11
2925,44,1,AG220,32
2924,44,1,AG240,31
2865,44,0,AG250,12
2866,44,0,AG260,13
2923,44,1,AG270,30
2922,44,1,AG280,29
2867,44,0,AG290,14
2868,44,0,AG300,15
2921,44,1,AG310,28
2869,44,0,AG320,16
2920,44,1,AG330,27
2919,44,1,AG340,26
2870,44,0,AG350,17
2918,44,1,AG360,25
2871,44,0,AG370,18
2872,44,0,AG380,19
5979,90,0,AG390,63
6031,90,1,AG390,52
6080,92,0,AG390,41
6090,92,1,AG390,2
6140,93,0,AG390,2
14222,698,1,AG390,2
6030,90,1,AG399,51
6089,92,1,AG399,1
14220,698,0,AG399,35
14221,698,1,AG399,1
6139,93,0,AG430,1
6278,93,1,AG430,60
14219,698,0,AG430,34
14260,698,1,AG430,40
3062,46,1,AG480,43
6141,93,0,AG480,3
7133,140,1,AG480,12
14051,689,1,AG480,21
14223,698,1,AG480,3
3063,46,1,AG500,44
6142,93,0,AG500,4
7134,140,1,AG500,13
14052,689,1,AG500,22
14224,698,1,AG500,4
2978,46,0,AG510,12
7111,140,0,AG510,12
14012,689,0,AG510,39
3064,46,1,AG520,45
6143,93,0,AG520,5
7135,140,1,AG520,14
14053,689,1,AG520,23
2977,46,0,AG525,11
7110,140,0,AG525,11
14011,689,0,AG525,38
3170,48,0,AG540,13
3169,48,0,AG550,12
3220,48,1,AG560,26
3168,48,0,AG570,11
3221,48,1,AG580,27
3167,48,0,AG590,10
3222,48,1,AG600,28
3166,48,0,AG610,9
443,10,0,AG900,27
2782,40,1,AG900,65
3228,48,1,AG900,34
3272,49,1,AG900,19
5720,88,0,AG900,84
6026,90,1,AG900,47
